MALNOE,Mathieu,malnoe.mathieu@free.fr,1110513346243 / 60,1,H
DE KERGARIOU,Ethan,de_kergariou.ethan@gmail.com,1110720155053 / 03,3,H
PUILL,Rayane,puill.rayane@orange.fr,1110726138666 / 29,3,H
LECAPITAINE,Mathis,lecapitaine.mathis@hotmail.com,1110892101657 / 61,1,H
RUPIN,Pierig,rupin.pierig@orange.fr,1110972122199 / 57,1,H
GUENEAU,Matthew,gueneau.matthew@hotmail.com,1110981153204 / 43,6,H
CHIOUAR,Ethan,chiouar.ethan@free.fr,1111037143997 / 75,3,H
OFFRET,Romain,offret.romain@gmail.com,1111126314574 / 46,6,H
COLLIN,Lucas,collin.lucas@orange.fr,1111178172833 / 24,3,H
MOREAU,Florian,moreau.florian@hotmail.com,1111249017995 / 73,6,H
CARDAIRE,Yann,cardaire.yann@free.fr,1120102268063 / 48,3,H
DUGUE - KOZANECKA,Pierre,dugue_-_kozanecka.pierre@orange.fr,1120106087962 / 09,1,H
BREHIN,Maxime,brehin.maxime@hotmail.com,1120155297959 / 52,1,H
DUMERCHAT,Maxime,dumerchat.maxime@free.fr,1120175388001 / 68,4,H
COHELEACH,Julian,coheleach.julian@gmail.com,1120278104745 / 19,T,H
GAUTIER-AUDIGOU,Elouan,gautier-audigou.elouan@orange.fr,1120402146101 / 32,3,H
HODOUIN,Guillaume,hodouin.guillaume@hotmail.com,1120443127002 / 79,4,H
LE BRIS,Neo,le_bris.neo@free.fr,1120556311861 / 58,5,H
RAULT,Martin,rault.martin@gmail.com,1120565131585 / 59,5,H
CADORET,Glenn,cadoret.glenn@orange.fr,1120621214323 / 05,5,H
CHEVALIER,Damien,chevalier.damien@hotmail.com,1120714371982 / 79,T,H
PERRIGUEY,Ewan,perriguey.ewan@gmail.com,1120763165924 / 47,5,H
BOIVENT,Gwendal,boivent.gwendal@orange.fr,1120803168344 / 39,5,H
LECONTE,Alexian,leconte.alexian@hotmail.com,1120884195865 / 13,4,H
PERROT,Timothe,perrot.timothe@free.fr,1120905148632 / 22,1,H
DUMONT-GIRARD,Colin,dumont-girard.colin@gmail.com,1120948240235 / 87,2,H
GOURMELON,Guillaume,gourmelon.guillaume@orange.fr,1121067068378 / 48,4,H
BARON,Thibault,baron.thibault@hotmail.com,1121073043390 / 42,T,H
FILAUX,Lilwen,filaux.lilwen@hotmail.com,2070538237589 / 30,1,F
HACQUET,Jeanne,hacquet.jeanne@gmail.com,2070759138503 / 29,4,F
STADNICHENKO,Fatou,stadnichenko.fatou@free.fr,2070767323232 / 63,T,F
OUKHOUYA ALI EL BOURKHISSI,Barbara,oukhouya_ali_el_bourkhissi.barbara@hotmail.com,2070912269304 / 24,3,F
CHERON,Salome,cheron.salome@gmail.com,2080148237113 / 26,2,F
HAMON,Margaux,hamon.margaux@orange.fr,2080930288232 / 58,T,F
POLICE,Diane,police.diane@hotmail.com,2080985299205 / 16,1,F
DESPERROIS,Angelika,desperrois.angelika@gmail.com,2090401003292 / 84,T,F
DENOUAL,Elise,denoual.elise@free.fr,2090785002171 / 52,1,F
PICOT,Camille,picot.camille@free.fr,2100356069869 / 51,4,F
OGER,Roxane,oger.roxane@gmail.com,2110508131972 / 46,6,F
DEBERLY,Emma,deberly.emma@gmail.com,2110635328088 / 30,1,F
CLUGERY,Justine,clugery.justine@gmail.com,2111125364823 / 20,5,F
POMMEREUL,Noa,pommereul.noa@gmail.com,1071103123229 / 51,6,H
